"method1","method2","ari","nmi"
"gmm","gmm",1,1
"gmm","hierarchical",0.624508188102984,0.634233530646341
"gmm","kmeans",0.665866413892382,0.674547775213199
"gmm","spectral",0.654659848985257,0.650166648536265
"hierarchical","gmm",0.624508188102984,0.634233530646341
"hierarchical","hierarchical",1,1
"hierarchical","kmeans",0.959392444475503,0.951135282996811
"hierarchical","spectral",0.919820257103027,0.91707297043075
"kmeans","gmm",0.665866413892382,0.674547775213199
"kmeans","hierarchical",0.959392444475503,0.951135282996811
"kmeans","kmeans",1,1
"kmeans","spectral",0.959267223906216,0.951513518032534
"spectral","gmm",0.654659848985257,0.650166648536265
"spectral","hierarchical",0.919820257103027,0.91707297043075
"spectral","kmeans",0.959267223906216,0.951513518032534
"spectral","spectral",1,1
