"stat","f_value","p_value"
"mp5",2393.31029208568,9.2925089879228e-139
"range",272.963228014561,9.5329306861781e-65
"mp5_growth",178.775339615178,2.41434296049735e-52
"mp_growth",157.03502099828,8.9588320796795e-49
"mp",127.317685435472,2.92902240319578e-43
"mr_growth",110.261455308023,1.11726353689351e-39
"ar",90.075299698044,6.17180059226504e-35
"ad",53.5549120672967,2.01918154122652e-24
"hp5",28.9116941402081,3.71715053320611e-15
"ms",27.6304521898971,1.32044288632165e-14
"mr",23.0247717813371,1.47370948902129e-12
"hp5_growth",16.7361838144505,1.42432609415636e-09
"hp",14.4442787496798,1.99891907306171e-08
"ad_growth",7.33753273285047,0.000118089726739902
"hp_growth",2.05059510130465,0.108690765641135
"as",1.77839141667287,0.153156815537212
"ar_growth",1.67499528212425,0.174255866043698
"as_growth",0.975949875536906,0.405483834497595
